id,subconjunto,categoria,norma,dispositivo,pergunta,gabarito,arquivo_fonte,nivel
D2b-040,D2b,vigencia,Resolucao CVM no 30/2021,"art. 11, VII","Na redacao vigente do art. 11, VII, da Resolucao CVM no 30/2021, qual e a denominacao correta da categoria profissional listada?","Assessores de investimento. A redacao anterior dizia agentes autonomos de investimento; o inciso foi alterado pela Resolucao CVM no 162/2022 e novamente pela Resolucao CVM no 179/2023, que fixou a denominacao atual.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,avancado
D2b-041,D2b,vigencia,Resolucao CVM no 30/2021,"art. 12, III","Na redacao vigente do art. 12, III, a certificacao mencionada e requisito para o registro de qual categoria?","Assessores de investimento, conforme redacao dada pela Resolucao CVM no 179/2023, que substituiu a mencao anterior a agentes autonomos de investimento.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,avancado
D2b-042,D2b,vigencia,Resolucao CVM no 30/2021,"art. 11, IX",Fundos patrimoniais sao considerados investidores profissionais?,Sim. O inciso IX foi incluido pela Resolucao CVM no 162/2022 e nao constava da redacao original de 2021.,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,avancado
D2b-043,D2b,vigencia,Resolucao CVM no 30/2021,art. 17,A Instrucao CVM no 539/2013 continua em vigor?,Nao. Foi expressamente revogada pelo art. 17 da Resolucao CVM no 30/2021.,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2b-044,D2b,vigencia,Resolucao CMN no 4.893/2021,"art. 3o, § 2o",Quantos procedimentos e controles minimos de seguranca cibernetica a norma vigente exige?,"Quatorze, conforme a redacao do art. 3o, § 2o, dada pela Resolucao CMN no 5.274/2025.",bibliografia/normas/resolucao-cmn-4893-2021-seguranca-cibernetica.pdf,avancado
D2b-045,D2b,vigencia,Resolucao CMN no 4.893/2021,revogacoes,As Resolucoes CMN no 4.658/2018 e no 4.752/2019 continuam em vigor?,Nao. Ambas foram revogadas pela Resolucao CMN no 4.893/2021.,bibliografia/normas/resolucao-cmn-4893-2021-seguranca-cibernetica.pdf,intermediario
D2b-046,D2b,vigencia,Resolucao CMN no 4.879/2020,revogacoes,A Resolucao CMN no 4.588/2017 continua em vigor?,"Nao. Foi revogada pela Resolucao CMN no 4.879/2020, que tambem revogou o art. 46 da Resolucao no 4.656/2018.",bibliografia/normas/resolucao-cmn-4879-2020-auditoria-interna.pdf,avancado
D2b-047,D2b,vigencia,Resolucao CMN no 4.968/2021,ambito de aplicacao,Administradoras de consorcio e instituicoes de pagamento estao no ambito de aplicacao da Resolucao CMN no 4.968/2021?,"Nao. As exclusoes de ambito foram atualizadas pela Resolucao CMN no 5.117/2024 e alcancam administradoras de consorcio, instituicoes de pagamento, corretoras e distribuidoras de valores mobiliarios e corretoras de cambio.",bibliografia/normas/resolucao-cmn-4968-2021-controles-internos.pdf,avancado
D2b-048,D2b,vigencia,Resolucao CMN no 5.274/2025,art. 2o,Qual foi o prazo de adequacao concedido pela Resolucao CMN no 5.274/2025?,Ate 1o de marco de 2026. A norma foi publicada em 18/12/2025 e entrou em vigor na data da publicacao.,bibliografia/normas/resolucao-cmn-5274-2025-altera-4893.pdf,avancado
D2b-049,D2b,vigencia,Lei no 11.033/2004,art. 1o,A tabela regressiva do IR sobre renda fixa foi substituida por aliquota unica pela Medida Provisoria no 1.303/2025?,"Nao. A MP no 1.303/2025 propos a substituicao, mas caducou em 08/10/2025 sem conversao em lei, de modo que a tabela regressiva da Lei no 11.033/2004 permaneceu vigente sem interrupcao.",bibliografia/normas/lei-11033-2004-ir-compilado.pdf,avancado
D2b-050,D2b,vigencia,Decreto no 6.306/2007,art. 32,Os decretos de 2025 sobre IOF alteraram a tabela de IOF sobre aplicacoes de renda fixa?,"Nao. O art. 32 e o Anexo do Decreto no 6.306/2007 nao foram alterados pelos Decretos no 12.466, 12.467 e 12.499, de 2025, que trataram de IOF sobre credito, cambio e seguro.",bibliografia/normas/decreto-6306-2007-iof-compilado.pdf,avancado
D2b-051,D2b,vigencia,Resolucao CMN no 4.557/2017,redacao vigente,A ementa da Resolucao CMN no 4.557/2017 esta na redacao original?,"Nao. A ementa tem redacao dada pela Resolucao no 4.745/2019, e o texto consolidado incorpora alteracoes ate a Resolucao CMN no 5.194/2024.",bibliografia/normas/resolucao-cmn-4557-2017-gerenciamento-riscos-capital.pdf,avancado
